#             eta             phi             dep             det     value0     value1      DetId
               -1               1               1              HB  0.1425321  0.5594607   43100401
               -1               1               2              HB  0.8537371  0.9720304   43200401
               -1               1               3              HB  0.8449768  0.6728106   43300401
               -1               1               4              HB  0.3259030  0.5113796   43400401
               -2               1               1              HB  0.0998558  0.3146447   43100801
               -2               1               2              HB  0.3114927  0.2663197   43200801
               -2               1               3              HB  0.2159057  0.2765377   43300801
               -2               1               4              HB  0.0237495  0.9833330   43400801
               -3               1               1              HB  0.7353713  0.8133131   43100C01
               -3               1               2              HB  0.7911251  0.1514454   43200C01
               -3               1               3              HB  0.0082976  0.3786015   43300C01
               -3               1               4              HB  0.5975517  0.5976370   43400C01
               -4               1               1              HB  0.2832634  0.1634945   43101001
               -4               1               2              HB  0.1100526  0.0780185   43201001
               -4               1               3              HB  0.5768467  0.0725501   43301001
               -4               1               4              HB  0.6706698  0.8967118   43401001
               -5               1               1              HB  0.1289958  0.7249527   43101401
               -5               1               2              HB  0.9719893  0.8505333   43201401
               -5               1               3              HB  0.8317494  0.6633980   43301401
               -5               1               4              HB  0.4659221  0.5625556   43401401
               -6               1               1              HB  0.2482406  0.7327888   43101801
               -6               1               2              HB  0.6956050  0.1382375   43201801
               -6               1               3              HB  0.2301057  0.0412800   43301801
               -6               1               4              HB  0.1644706  0.7735158   43401801
               -7               1               1              HB  0.1484375  0.7302986   43101C01
               -7               1               2              HB  0.8859763  0.1864660   43201C01
               -7               1               3              HB  0.0366482  0.7447500   43301C01
               -7               1               4              HB  0.5485547  0.0161892   43401C01
               -8               1               1              HB  0.6419549  0.8999636   43102001
               -8               1               2              HB  0.5216142  0.9550049   43202001
               -8               1               3              HB  0.4558308  0.1795193   43302001
               -8               1               4              HB  0.5252088  0.8565758   43402001
               -9               1               1              HB  0.2815647  0.4727936   43102401
               -9               1               2              HB  0.8016691  0.1772715   43202401
               -9               1               3              HB  0.1241606  0.2338162   43302401
               -9               1               4              HB  0.3968887  0.2169207   43402401
              -10               1               1              HB  0.0254732  0.4047095   43102801
              -10               1               2              HB  0.7737136  0.6616343   43202801
              -10               1               3              HB  0.1661637  0.5407130   43302801
              -10               1               4              HB  0.4477208  0.5466662   43402801
              -11               1               1              HB  0.6422494  0.5502391   43102C01
              -11               1               2              HB  0.2314054  0.8539010   43202C01
              -11               1               3              HB  0.4598624  0.4115100   43302C01
              -11               1               4              HB  0.3492879  0.2058997   43402C01
              -12               1               1              HB  0.8454795  0.6876965   43103001
              -12               1               2              HB  0.8258910  0.5624361   43203001
              -12               1               3              HB  0.9365796  0.4359729   43303001
              -12               1               4              HB  0.2193910  0.7521206   43403001
              -13               1               1              HB  0.4385052  0.7419404   43103401
              -13               1               2              HB  0.7088804  0.0498595   43203401
              -13               1               3              HB  0.2555035  0.5270077   43303401
              -13               1               4              HB  0.3740935  0.1708369   43403401
              -14               1               1              HB  0.6798156  0.6146313   43103801
              -14               1               2              HB  0.5060606  0.8436723   43203801
              -14               1               3              HB  0.5553477  0.6315886   43303801
              -14               1               4              HB  0.0151513  0.4387102   43403801
              -15               1               1              HB  0.5997117  0.0068474   43103C01
              -15               1               2              HB  0.0243830  0.5651770   43203C01
              -15               1               3              HB  0.4914680  0.5030885   43303C01
              -15               1               4              HB  0.8302668  0.7636866   43403C01
              -16               1               1              HB  0.3846189  0.1178707   43104001
              -16               1               2              HB  0.1845435  0.1597148   43204001
              -16               1               3              HB  0.7392836  0.6929541   43304001
               -1               2               1              HB  0.0906100  0.5553977   43100402
               -1               2               2              HB  0.3176956  0.5055158   43200402
               -1               2               3              HB  0.1097915  0.8486884   43300402
               -1               2               4              HB  0.0877638  0.0634286   43400402
               -2               2               1              HB  0.0332834  0.5992850   43100802
               -2               2               2              HB  0.4633548  0.2613372   43200802
               -2               2               3              HB  0.6435544  0.4072538   43300802
               -2               2               4              HB  0.8322992  0.5068204   43400802
               -3               2               1              HB  0.3945569  0.6531419   43100C02
               -3               2               2              HB  0.9582446  0.7881011   43200C02
               -3               2               3              HB  0.5381680  0.8738276   43300C02
               -3               2               4              HB  0.6648154  0.6754963   43400C02
               -4               2               1              HB  0.8948919  0.3694150   43101002
               -4               2               2              HB  0.8034284  0.6217173   43201002
               -4               2               3              HB  0.9263524  0.0016773   43301002
               -4               2               4              HB  0.8222650  0.3348135   43401002
               -5               2               1              HB  0.7384665  0.0558545   43101402
               -5               2               2              HB  0.9647970  0.1583301   43201402
               -5               2               3              HB  0.1219761  0.3735183   43301402
               -5               2               4              HB  0.8979217  0.6154429   43401402
               -6               2               1              HB  0.5042012  0.9903028   43101802
               -6               2               2              HB  0.3588570  0.1717815   43201802
               -6               2               3              HB  0.1690242  0.7969481   43301802
               -6               2               4              HB  0.8548066  0.7510312   43401802
               -7               2               1              HB  0.5560728  0.0054526   43101C02
               -7               2               2              HB  0.5687303  0.8999513   43201C02
               -7               2               3              HB  0.6978016  0.7416633   43301C02
               -7               2               4              HB  0.0315439  0.8902374   43401C02
               -8               2               1              HB  0.5457951  0.6693176   43102002
               -8               2               2              HB  0.9897169  0.7562731   43202002
               -8               2               3              HB  0.1377730  0.3470994   43302002
               -8               2               4              HB  0.4856638  0.4534591   43402002
               -9               2               1              HB  0.9533448  0.5766646   43102402
               -9               2               2              HB  0.0880587  0.7198581   43202402
               -9               2               3              HB  0.6742734  0.3452485   43302402
               -9               2               4              HB  0.4640706  0.8165150   43402402
              -10               2               1              HB  0.6813519  0.0169063   43102802
              -10               2               2              HB  0.3195650  0.2226101   43202802
              -10               2               3              HB  0.0782481  0.0015278   43302802
              -10               2               4              HB  0.4319689  0.0015337   43402802
              -11               2               1              HB  0.5686606  0.3529285   43102C02
              -11               2               2              HB  0.3149768  0.8871002   43202C02
              -11               2               3              HB  0.1118599  0.7088887   43302C02
              -11               2               4              HB  0.3341712  0.6366717   43402C02
              -12               2               1              HB  0.7777451  0.8768038   43103002
              -12               2               2              HB  0.4827697  0.0270807   43203002
              -12               2               3              HB  0.9955438  0.3386562   43303002
              -12               2               4              HB  0.6058199  0.2920205   43403002
              -13               2               1              HB  0.6316652  0.4958720   43103402
              -13               2               2              HB  0.9932798  0.0041507   43203402
              -13               2               3              HB  0.2076655  0.9077497   43303402
              -13               2               4              HB  0.4128081  0.3438371   43403402
              -14               2               1              HB  0.8642942  0.1052431   43103802
              -14               2               2              HB  0.1719416  0.1496508   43203802
              -14               2               3              HB  0.7849482  0.3866030   43303802
              -14               2               4              HB  0.6967529  0.6148133   43403802
              -15               2               1              HB  0.0535127  0.8537263   43103C02
              -15               2               2              HB  0.0960551  0.2086022   43203C02
              -15               2               3              HB  0.5958992  0.7595064   43303C02
              -15               2               4              HB  0.7770109  0.2522323   43403C02
              -16               2               1              HB  0.9883070  0.7755506   43104002
              -16               2               2              HB  0.1591988  0.9180347   43204002
              -16               2               3              HB  0.9318789  0.5287790   43304002
               -1               3               1              HB  0.8751737  0.8997604   43100403
               -1               3               2              HB  0.6779161  0.7689312   43200403
               -1               3               3              HB  0.4546040  0.0351794   43300403
               -1               3               4              HB  0.7085471  0.4423688   43400403
               -2               3               1              HB  0.8444657  0.0074472   43100803
               -2               3               2              HB  0.2022117  0.9186358   43200803
               -2               3               3              HB  0.7184009  0.2884980   43300803
               -2               3               4              HB  0.3000105  0.3213579   43400803
               -3               3               1              HB  0.0380914  0.8685011   43100C03
               -3               3               2              HB  0.6337927  0.4000057   43200C03
               -3               3               3              HB  0.6985061  0.5056172   43300C03
               -3               3               4              HB  0.5498227  0.9977665   43400C03
               -4               3               1              HB  0.9135281  0.7265413   43101003
               -4               3               2              HB  0.5398367  0.7300789   43201003
               -4               3               3              HB  0.0260031  0.1332309   43301003
               -4               3               4              HB  0.3603505  0.3733724   43401003
               -5               3               1              HB  0.6339255  0.1737142   43101403
               -5               3               2              HB  0.0124348  0.7271713   43201403
               -5               3               3              HB  0.0260274  0.7388368   43301403
               -5               3               4              HB  0.3722410  0.6512935   43401403
               -6               3               1              HB  0.0410485  0.1720443   43101803
               -6               3               2              HB  0.5238127  0.3196009   43201803
